main,did_effect,did_se
8,.58672208,.1689073
74,-.29951942,.22179781
101,1.9562892,.045773089
106,.37758854,.10443858
204,-.066470586,.05938812
416,.62131685,.043518394
430,.1845929,.036314603
528,.5605526,.15493238
534,.22607231,.040823653
536,.31541291,.20972341
544,.39169008,.13632944
546,.32069159,.094463326
548,.20667414,.077745341
549,.026085807,.045849845
552,.34031987,.061342862
562,.14885381,.096402928
564,.23937882,.11069612
568,.10065165,.079032928
570,.4163771,.38787168
